0.003	0.991	0.006
0.003	0.988	0.008
0.003	0.988	0.009
0.004	0.983	0.013
0.003	0.981	0.015
0.004	0.793	0.203
0.003	0.984	0.013
0.007	0.981	0.012
0.015	0.826	0.159
0.005	0.987	0.008
0.004	0.989	0.007
0.003	0.981	0.016
0.013	0.972	0.016
0.004	0.008	0.988
0.01	0.35	0.64
0.007	0.379	0.614
0.91	0.02	0.07
0.99	0.005	0.004
0.988	0.007	0.005
0.81	0.112	0.078
0.006	0.035	0.959
0.991	0.005	0.004
0.988	0.007	0.005
0.005	0.022	0.973
0.971	0.004	0.025
0.99	0.005	0.005
0.991	0.003	0.006
0.983	0.008	0.009
0.993	0.003	0.004
0.936	0.032	0.032
0.004	0.078	0.917
0.007	0.135	0.858
0.102	0.008	0.891
0.599	0.004	0.397
0.015	0.006	0.979
0.269	0.009	0.722
0.5	0.011	0.489
0.014	0.004	0.981
0.011	0.006	0.983
0.047	0.012	0.941
0.006	0.02	0.974
0.004	0.004	0.992
0.004	0.007	0.99
0.008	0.379	0.613
0.004	0.042	0.954
0.006	0.987	0.007
0.006	0.986	0.009
