0.992	0.008
0.993	0.007
0.994	0.006
0.994	0.006
0.994	0.006
0.795	0.205
0.992	0.008
0.99	0.01
0.846	0.154
0.992	0.008
0.994	0.006
0.995	0.005
0.987	0.013
0.019	0.981
0.429	0.571
0.486	0.514
0.02	0.98
0.014	0.986
0.021	0.979
0.066	0.934
0.045	0.955
0.011	0.989
0.015	0.985
0.012	0.988
0.006	0.994
0.011	0.989
0.007	0.993
0.006	0.994
0.006	0.994
0.027	0.973
0.168	0.832
0.193	0.807
0.009	0.991
0.007	0.993
0.008	0.992
0.012	0.988
0.011	0.989
0.008	0.992
0.009	0.991
0.009	0.991
0.024	0.976
0.008	0.992
0.008	0.992
0.46	0.54
0.101	0.899
0.991	0.009
0.991	0.009
