0.004	0.003	0.006	0.987
0.003	0.003	0.003	0.991
0.003	0.002	0.003	0.992
0.003	0.003	0.003	0.991
0.003	0.003	0.003	0.991
0.017	0.003	0.196	0.784
0.003	0.003	0.005	0.989
0.004	0.008	0.005	0.983
0.074	0.011	0.12	0.795
0.003	0.005	0.003	0.988
0.002	0.003	0.004	0.991
0.003	0.003	0.003	0.991
0.004	0.011	0.008	0.977
0.061	0.004	0.929	0.007
0.155	0.01	0.618	0.218
0.145	0.006	0.603	0.246
0.025	0.887	0.071	0.016
0.005	0.986	0.004	0.005
0.004	0.985	0.004	0.006
0.313	0.608	0.028	0.051
0.904	0.006	0.059	0.031
0.004	0.951	0.038	0.006
0.012	0.948	0.035	0.006
0.927	0.004	0.064	0.005
0.017	0.959	0.021	0.004
0.004	0.989	0.003	0.004
0.008	0.985	0.004	0.003
0.011	0.966	0.016	0.007
0.009	0.979	0.009	0.003
0.029	0.92	0.024	0.028
0.19	0.005	0.754	0.051
0.196	0.005	0.7	0.098
0.447	0.115	0.433	0.005
0.786	0.205	0.006	0.003
0.844	0.145	0.007	0.003
0.802	0.147	0.044	0.007
0.81	0.173	0.007	0.01
0.845	0.146	0.005	0.003
0.043	0.011	0.942	0.004
0.707	0.03	0.26	0.003
0.04	0.006	0.948	0.006
0.006	0.004	0.987	0.003
0.005	0.003	0.989	0.003
0.036	0.009	0.707	0.248
0.046	0.004	0.928	0.021
0.005	0.005	0.004	0.987
0.004	0.007	0.004	0.986
