0.003	0.99	0.006
0.004	0.992	0.004
0.003	0.993	0.003
0.004	0.992	0.004
0.003	0.993	0.004
0.006	0.791	0.202
0.005	0.991	0.005
0.008	0.986	0.006
0.024	0.819	0.158
0.006	0.989	0.005
0.003	0.993	0.004
0.003	0.993	0.004
0.011	0.979	0.01
0.005	0.006	0.988
0.01	0.326	0.665
0.007	0.349	0.644
0.914	0.02	0.067
0.988	0.006	0.005
0.986	0.008	0.005
0.78	0.121	0.099
0.006	0.028	0.966
0.987	0.007	0.005
0.985	0.008	0.007
0.006	0.007	0.986
0.976	0.005	0.019
0.989	0.006	0.005
0.989	0.004	0.007
0.982	0.008	0.01
0.992	0.004	0.005
0.935	0.036	0.029
0.005	0.094	0.901
0.008	0.142	0.85
0.127	0.007	0.866
0.878	0.004	0.118
0.015	0.005	0.98
0.568	0.008	0.424
0.803	0.014	0.183
0.018	0.005	0.977
0.011	0.005	0.983
0.088	0.005	0.906
0.007	0.015	0.978
0.004	0.006	0.991
0.004	0.004	0.992
0.014	0.378	0.608
0.005	0.035	0.959
0.008	0.987	0.005
0.009	0.987	0.005
