0.011	0.013	0.018	0.012	0.946
0.012	0.015	0.012	0.011	0.949
0.009	0.013	0.01	0.014	0.954
0.009	0.013	0.012	0.013	0.954
0.011	0.01	0.011	0.015	0.953
0.021	0.016	0.159	0.011	0.793
0.016	0.01	0.013	0.014	0.947
0.012	0.013	0.013	0.016	0.946
0.043	0.049	0.095	0.021	0.791
0.011	0.011	0.013	0.013	0.953
0.012	0.015	0.012	0.011	0.95
0.013	0.014	0.012	0.013	0.949
0.013	0.012	0.015	0.021	0.939
0.023	0.024	0.92	0.023	0.01
0.022	0.019	0.72	0.02	0.219
0.017	0.023	0.687	0.02	0.254
0.023	0.029	0.063	0.86	0.024
0.017	0.011	0.016	0.936	0.02
0.012	0.011	0.011	0.942	0.022
0.039	0.227	0.046	0.609	0.079
0.87	0.05	0.046	0.015	0.019
0.013	0.011	0.014	0.941	0.022
0.014	0.011	0.013	0.937	0.025
0.87	0.058	0.05	0.012	0.01
0.015	0.024	0.032	0.914	0.015
0.014	0.011	0.016	0.941	0.018
0.015	0.02	0.013	0.938	0.014
0.015	0.015	0.019	0.932	0.019
0.015	0.019	0.016	0.939	0.011
0.03	0.023	0.032	0.888	0.027
0.04	0.04	0.839	0.013	0.068
0.137	0.018	0.73	0.018	0.097
0.099	0.154	0.665	0.069	0.014
0.024	0.914	0.016	0.033	0.014
0.044	0.904	0.028	0.013	0.011
0.054	0.763	0.132	0.033	0.018
0.037	0.908	0.023	0.015	0.017
0.039	0.911	0.027	0.011	0.012
0.083	0.058	0.827	0.017	0.015
0.098	0.169	0.694	0.029	0.01
0.183	0.04	0.754	0.012	0.012
0.051	0.123	0.805	0.012	0.009
0.045	0.112	0.825	0.01	0.008
0.014	0.104	0.535	0.026	0.321
0.041	0.054	0.869	0.019	0.016
0.01	0.017	0.014	0.014	0.946
0.01	0.018	0.011	0.013	0.949
