0.005	0.005	0.003	0.987
0.003	0.003	0.003	0.991
0.003	0.003	0.002	0.992
0.003	0.003	0.003	0.991
0.003	0.003	0.003	0.991
0.115	0.06	0.005	0.821
0.004	0.004	0.003	0.989
0.005	0.006	0.009	0.98
0.097	0.07	0.012	0.821
0.004	0.003	0.007	0.985
0.003	0.003	0.003	0.991
0.003	0.003	0.002	0.992
0.006	0.005	0.011	0.979
0.696	0.294	0.004	0.006
0.37	0.361	0.009	0.26
0.346	0.337	0.006	0.311
0.033	0.032	0.922	0.013
0.005	0.003	0.986	0.006
0.004	0.003	0.987	0.006
0.151	0.028	0.753	0.068
0.007	0.961	0.005	0.027
0.003	0.004	0.987	0.006
0.004	0.004	0.986	0.005
0.006	0.983	0.004	0.007
0.01	0.026	0.96	0.004
0.004	0.003	0.989	0.004
0.008	0.005	0.985	0.003
0.009	0.005	0.98	0.006
0.009	0.004	0.984	0.002
0.024	0.021	0.925	0.029
0.676	0.229	0.005	0.09
0.347	0.487	0.006	0.16
0.252	0.602	0.142	0.005
0.571	0.006	0.42	0.003
0.985	0.005	0.007	0.003
0.648	0.054	0.289	0.009
0.615	0.006	0.37	0.009
0.985	0.004	0.007	0.003
0.134	0.85	0.011	0.005
0.161	0.756	0.079	0.004
0.041	0.937	0.007	0.015
0.006	0.988	0.003	0.003
0.006	0.988	0.003	0.003
0.511	0.106	0.006	0.377
0.625	0.318	0.005	0.052
0.005	0.004	0.004	0.987
0.006	0.004	0.006	0.984
