0.003	0.004	0.002	0.005	0.002	0.984
0.003	0.002	0.003	0.003	0.002	0.987
0.002	0.002	0.002	0.003	0.002	0.988
0.003	0.002	0.002	0.003	0.002	0.988
0.003	0.002	0.002	0.002	0.002	0.989
0.016	0.005	0.004	0.174	0.004	0.798
0.005	0.002	0.002	0.004	0.003	0.984
0.005	0.002	0.003	0.004	0.006	0.98
0.034	0.012	0.027	0.124	0.007	0.796
0.003	0.003	0.003	0.003	0.004	0.984
0.003	0.002	0.002	0.004	0.002	0.986
0.002	0.002	0.002	0.002	0.002	0.989
0.004	0.003	0.003	0.006	0.01	0.974
0.034	0.004	0.005	0.951	0.003	0.004
0.027	0.005	0.003	0.79	0.007	0.167
0.015	0.004	0.003	0.784	0.004	0.19
0.016	0.024	0.013	0.064	0.873	0.01
0.003	0.002	0.005	0.003	0.983	0.004
0.003	0.002	0.004	0.003	0.984	0.004
0.027	0.032	0.259	0.03	0.597	0.055
0.959	0.002	0.004	0.028	0.002	0.004
0.004	0.003	0.002	0.003	0.983	0.005
0.006	0.003	0.003	0.005	0.978	0.006
0.96	0.002	0.002	0.031	0.003	0.003
0.005	0.045	0.014	0.012	0.921	0.003
0.003	0.002	0.004	0.004	0.983	0.004
0.004	0.003	0.007	0.004	0.979	0.002
0.003	0.004	0.013	0.007	0.968	0.006
0.002	0.004	0.015	0.004	0.973	0.003
0.014	0.005	0.023	0.03	0.914	0.014
0.05	0.006	0.01	0.894	0.004	0.037
0.054	0.005	0.04	0.851	0.005	0.045
0.165	0.015	0.176	0.549	0.091	0.004
0.003	0.003	0.979	0.004	0.009	0.002
0.002	0.213	0.776	0.004	0.003	0.003
0.014	0.028	0.885	0.051	0.014	0.009
0.003	0.006	0.977	0.004	0.005	0.005
0.003	0.212	0.776	0.003	0.003	0.003
0.135	0.084	0.006	0.762	0.01	0.004
0.096	0.345	0.252	0.279	0.024	0.004
0.233	0.109	0.005	0.641	0.004	0.008
0.002	0.987	0.003	0.003	0.002	0.002
0.002	0.988	0.002	0.003	0.002	0.002
0.011	0.005	0.073	0.636	0.006	0.268
0.03	0.006	0.01	0.939	0.004	0.011
0.003	0.004	0.005	0.003	0.005	0.981
0.002	0.004	0.005	0.004	0.004	0.982
