0.003	0.002	0.008	0.002	0.985
0.002	0.002	0.003	0.003	0.989
0.002	0.002	0.002	0.002	0.991
0.002	0.002	0.002	0.002	0.99
0.002	0.002	0.003	0.003	0.99
0.007	0.006	0.16	0.004	0.822
0.004	0.002	0.003	0.003	0.988
0.007	0.002	0.005	0.008	0.978
0.04	0.037	0.1	0.008	0.814
0.003	0.002	0.004	0.005	0.986
0.003	0.002	0.003	0.002	0.99
0.002	0.002	0.003	0.002	0.991
0.003	0.003	0.007	0.01	0.978
0.003	0.018	0.973	0.002	0.004
0.008	0.003	0.837	0.006	0.146
0.007	0.003	0.777	0.004	0.208
0.015	0.011	0.059	0.899	0.015
0.003	0.004	0.003	0.986	0.004
0.003	0.003	0.004	0.987	0.004
0.03	0.216	0.077	0.6	0.076
0.978	0.007	0.005	0.002	0.008
0.025	0.003	0.004	0.964	0.005
0.026	0.003	0.005	0.96	0.006
0.98	0.009	0.006	0.002	0.003
0.006	0.01	0.015	0.965	0.003
0.003	0.004	0.003	0.987	0.003
0.004	0.009	0.003	0.981	0.003
0.004	0.011	0.006	0.973	0.006
0.002	0.016	0.004	0.976	0.002
0.015	0.013	0.026	0.928	0.018
0.022	0.015	0.911	0.004	0.047
0.097	0.008	0.796	0.004	0.095
0.172	0.081	0.561	0.181	0.004
0.003	0.955	0.006	0.033	0.002
0.003	0.988	0.003	0.004	0.003
0.009	0.752	0.171	0.058	0.01
0.003	0.963	0.003	0.022	0.008
0.002	0.989	0.003	0.003	0.003
0.133	0.004	0.849	0.009	0.005
0.088	0.105	0.777	0.027	0.002
0.297	0.006	0.677	0.008	0.011
0.003	0.003	0.988	0.003	0.003
0.004	0.004	0.986	0.003	0.003
0.007	0.069	0.604	0.006	0.314
0.005	0.025	0.945	0.005	0.022
0.002	0.006	0.004	0.005	0.984
0.002	0.004	0.003	0.005	0.985
