0.003	0.003	0.005	0.002	0.987
0.003	0.002	0.004	0.003	0.989
0.003	0.002	0.003	0.002	0.99
0.002	0.003	0.002	0.002	0.99
0.003	0.002	0.003	0.003	0.989
0.007	0.004	0.204	0.003	0.782
0.004	0.003	0.003	0.003	0.987
0.006	0.002	0.006	0.008	0.978
0.045	0.043	0.099	0.006	0.807
0.002	0.003	0.003	0.006	0.985
0.003	0.002	0.003	0.002	0.989
0.002	0.002	0.003	0.003	0.99
0.004	0.003	0.006	0.009	0.978
0.003	0.013	0.976	0.003	0.005
0.105	0.008	0.545	0.011	0.332
0.104	0.007	0.518	0.006	0.365
0.018	0.01	0.071	0.89	0.01
0.003	0.004	0.004	0.985	0.004
0.003	0.003	0.003	0.985	0.005
0.025	0.249	0.028	0.635	0.064
0.985	0.004	0.003	0.002	0.006
0.007	0.003	0.005	0.98	0.006
0.009	0.004	0.005	0.975	0.006
0.989	0.002	0.003	0.002	0.003
0.012	0.02	0.019	0.946	0.003
0.003	0.004	0.003	0.987	0.004
0.003	0.008	0.005	0.981	0.003
0.004	0.013	0.007	0.97	0.006
0.002	0.018	0.005	0.972	0.002
0.013	0.016	0.023	0.925	0.023
0.009	0.023	0.878	0.004	0.087
0.193	0.012	0.681	0.005	0.109
0.183	0.072	0.575	0.166	0.004
0.003	0.979	0.005	0.01	0.003
0.003	0.988	0.004	0.003	0.003
0.02	0.837	0.092	0.037	0.014
0.003	0.98	0.005	0.005	0.007
0.003	0.987	0.005	0.003	0.003
0.223	0.012	0.748	0.013	0.005
0.125	0.302	0.543	0.028	0.003
0.247	0.007	0.733	0.005	0.008
0.003	0.134	0.858	0.003	0.003
0.004	0.13	0.86	0.002	0.003
0.005	0.074	0.581	0.005	0.335
0.007	0.019	0.946	0.003	0.024
0.003	0.005	0.003	0.004	0.985
0.002	0.008	0.005	0.004	0.981
