0.993	0.007
0.994	0.006
0.995	0.005
0.995	0.005
0.994	0.006
0.818	0.182
0.993	0.007
0.989	0.011
0.868	0.132
0.993	0.007
0.994	0.006
0.995	0.005
0.987	0.013
0.017	0.983
0.494	0.506
0.556	0.444
0.018	0.982
0.016	0.984
0.019	0.981
0.054	0.946
0.048	0.952
0.011	0.989
0.013	0.987
0.011	0.989
0.006	0.994
0.01	0.99
0.007	0.993
0.007	0.993
0.006	0.994
0.029	0.971
0.189	0.811
0.186	0.814
0.009	0.991
0.006	0.994
0.008	0.992
0.011	0.989
0.01	0.99
0.008	0.992
0.009	0.991
0.007	0.993
0.027	0.973
0.008	0.992
0.008	0.992
0.474	0.526
0.113	0.887
0.991	0.009
0.991	0.009
