0.003	0.007	0.99
0.004	0.004	0.993
0.003	0.003	0.994
0.004	0.004	0.992
0.003	0.004	0.993
0.005	0.193	0.802
0.004	0.006	0.99
0.008	0.006	0.986
0.024	0.171	0.804
0.006	0.006	0.988
0.003	0.004	0.993
0.003	0.004	0.993
0.01	0.006	0.983
0.005	0.989	0.006
0.01	0.689	0.301
0.007	0.657	0.337
0.909	0.072	0.019
0.989	0.004	0.007
0.987	0.005	0.008
0.821	0.061	0.118
0.008	0.966	0.026
0.987	0.005	0.008
0.985	0.007	0.008
0.004	0.989	0.006
0.978	0.018	0.004
0.989	0.005	0.005
0.991	0.006	0.003
0.985	0.007	0.007
0.993	0.004	0.004
0.934	0.032	0.034
0.006	0.914	0.079
0.01	0.862	0.128
0.21	0.783	0.007
0.97	0.026	0.004
0.18	0.816	0.004
0.71	0.282	0.007
0.931	0.056	0.013
0.182	0.812	0.005
0.013	0.982	0.006
0.144	0.852	0.005
0.009	0.977	0.014
0.004	0.991	0.005
0.004	0.991	0.005
0.016	0.62	0.364
0.005	0.959	0.036
0.006	0.004	0.989
0.006	0.006	0.988
