0.012	0.007	0.011	0.009	0.961
0.009	0.009	0.008	0.007	0.968
0.008	0.008	0.009	0.009	0.966
0.008	0.006	0.012	0.009	0.965
0.011	0.007	0.011	0.009	0.961
0.106	0.021	0.102	0.009	0.762
0.01	0.01	0.009	0.009	0.962
0.009	0.009	0.01	0.012	0.96
0.106	0.04	0.081	0.013	0.76
0.008	0.007	0.007	0.013	0.965
0.009	0.007	0.01	0.008	0.966
0.01	0.007	0.008	0.01	0.966
0.011	0.008	0.013	0.016	0.952
0.486	0.022	0.471	0.011	0.009
0.448	0.023	0.342	0.021	0.166
0.436	0.023	0.315	0.014	0.212
0.108	0.05	0.078	0.748	0.015
0.019	0.018	0.015	0.94	0.009
0.014	0.017	0.021	0.939	0.01
0.069	0.22	0.062	0.575	0.074
0.477	0.039	0.436	0.025	0.023
0.017	0.012	0.022	0.937	0.012
0.016	0.017	0.019	0.936	0.013
0.471	0.039	0.463	0.015	0.011
0.048	0.042	0.047	0.852	0.011
0.017	0.018	0.015	0.943	0.008
0.016	0.023	0.016	0.936	0.009
0.017	0.027	0.024	0.921	0.011
0.017	0.029	0.022	0.923	0.009
0.048	0.029	0.044	0.851	0.029
0.441	0.044	0.451	0.012	0.053
0.466	0.017	0.435	0.025	0.057
0.335	0.071	0.493	0.092	0.009
0.02	0.866	0.019	0.084	0.011
0.02	0.924	0.017	0.029	0.01
0.153	0.679	0.114	0.039	0.014
0.022	0.874	0.035	0.055	0.014
0.012	0.921	0.033	0.027	0.007
0.462	0.031	0.481	0.019	0.007
0.377	0.176	0.392	0.048	0.008
0.499	0.043	0.432	0.013	0.013
0.373	0.203	0.407	0.009	0.008
0.389	0.197	0.398	0.009	0.007
0.197	0.074	0.348	0.012	0.368
0.474	0.034	0.45	0.012	0.03
0.008	0.01	0.011	0.013	0.958
0.007	0.009	0.011	0.011	0.962
