0.025	0.002	0.002	0.005	0.002	0.964
0.004	0.002	0.002	0.003	0.002	0.986
0.003	0.002	0.002	0.002	0.002	0.989
0.003	0.002	0.002	0.002	0.003	0.988
0.003	0.002	0.002	0.002	0.002	0.988
0.038	0.008	0.009	0.147	0.004	0.794
0.005	0.004	0.002	0.003	0.003	0.982
0.007	0.005	0.002	0.004	0.006	0.975
0.075	0.015	0.027	0.105	0.009	0.768
0.007	0.002	0.003	0.004	0.004	0.98
0.003	0.003	0.002	0.003	0.002	0.987
0.003	0.002	0.002	0.002	0.002	0.988
0.014	0.003	0.003	0.005	0.011	0.964
0.121	0.003	0.004	0.866	0.002	0.004
0.95	0.005	0.003	0.006	0.005	0.031
0.937	0.006	0.003	0.008	0.004	0.043
0.016	0.007	0.039	0.056	0.868	0.014
0.003	0.002	0.004	0.002	0.985	0.004
0.003	0.003	0.003	0.003	0.984	0.004
0.035	0.031	0.218	0.046	0.615	0.054
0.004	0.982	0.004	0.003	0.002	0.005
0.003	0.004	0.002	0.003	0.983	0.005
0.005	0.007	0.003	0.004	0.976	0.005
0.002	0.987	0.002	0.003	0.002	0.002
0.005	0.004	0.038	0.016	0.934	0.003
0.003	0.003	0.003	0.003	0.984	0.004
0.003	0.004	0.008	0.004	0.98	0.002
0.008	0.004	0.008	0.005	0.971	0.005
0.003	0.002	0.015	0.005	0.972	0.002
0.037	0.013	0.01	0.017	0.901	0.021
0.886	0.01	0.015	0.072	0.003	0.015
0.469	0.03	0.022	0.384	0.006	0.088
0.038	0.064	0.066	0.769	0.059	0.004
0.004	0.003	0.949	0.021	0.021	0.002
0.006	0.003	0.98	0.006	0.003	0.002
0.057	0.018	0.842	0.056	0.018	0.009
0.004	0.002	0.96	0.018	0.009	0.008
0.002	0.002	0.984	0.006	0.003	0.003
0.055	0.043	0.031	0.86	0.008	0.003
0.071	0.135	0.363	0.406	0.02	0.004
0.01	0.129	0.01	0.84	0.005	0.006
0.004	0.003	0.357	0.631	0.003	0.003
0.006	0.002	0.354	0.634	0.002	0.003
0.13	0.003	0.037	0.563	0.005	0.261
0.128	0.005	0.008	0.843	0.003	0.012
0.003	0.002	0.005	0.004	0.004	0.982
0.003	0.002	0.005	0.003	0.004	0.982
