0.003	0.988	0.009
0.003	0.993	0.004
0.003	0.993	0.004
0.003	0.993	0.004
0.004	0.993	0.003
0.004	0.798	0.198
0.005	0.99	0.005
0.008	0.985	0.007
0.022	0.807	0.171
0.006	0.989	0.005
0.004	0.991	0.004
0.003	0.993	0.004
0.012	0.981	0.007
0.004	0.007	0.988
0.012	0.335	0.652
0.009	0.374	0.617
0.893	0.02	0.086
0.99	0.006	0.005
0.988	0.008	0.004
0.798	0.125	0.077
0.008	0.023	0.97
0.988	0.007	0.005
0.984	0.008	0.008
0.006	0.007	0.987
0.973	0.004	0.023
0.99	0.005	0.005
0.992	0.003	0.005
0.981	0.008	0.01
0.991	0.004	0.006
0.932	0.035	0.032
0.006	0.093	0.9
0.009	0.122	0.869
0.169	0.006	0.824
0.906	0.003	0.091
0.047	0.005	0.948
0.586	0.009	0.405
0.839	0.014	0.147
0.042	0.006	0.952
0.012	0.005	0.983
0.08	0.005	0.915
0.008	0.015	0.978
0.004	0.005	0.991
0.004	0.005	0.991
0.014	0.38	0.606
0.006	0.036	0.958
0.006	0.987	0.006
0.006	0.989	0.005
