0.003	0.003	0.006	0.988
0.003	0.003	0.004	0.991
0.002	0.002	0.003	0.993
0.002	0.003	0.003	0.992
0.002	0.002	0.003	0.992
0.017	0.005	0.171	0.807
0.003	0.003	0.004	0.99
0.003	0.01	0.005	0.982
0.048	0.008	0.152	0.792
0.003	0.005	0.004	0.988
0.003	0.003	0.003	0.992
0.003	0.002	0.003	0.992
0.004	0.011	0.006	0.98
0.014	0.003	0.978	0.005
0.022	0.009	0.808	0.161
0.03	0.006	0.76	0.203
0.019	0.907	0.06	0.015
0.004	0.988	0.004	0.004
0.003	0.988	0.004	0.005
0.193	0.672	0.061	0.074
0.026	0.005	0.953	0.016
0.003	0.988	0.003	0.005
0.004	0.986	0.005	0.006
0.027	0.004	0.965	0.004
0.032	0.949	0.014	0.004
0.003	0.989	0.004	0.003
0.006	0.987	0.005	0.003
0.011	0.976	0.008	0.006
0.011	0.983	0.004	0.002
0.012	0.935	0.033	0.02
0.051	0.003	0.894	0.052
0.04	0.006	0.888	0.065
0.094	0.098	0.804	0.004
0.938	0.047	0.011	0.003
0.984	0.004	0.008	0.004
0.827	0.037	0.128	0.007
0.962	0.018	0.013	0.007
0.984	0.003	0.009	0.003
0.054	0.009	0.932	0.005
0.686	0.019	0.291	0.004
0.053	0.006	0.934	0.007
0.74	0.003	0.254	0.004
0.725	0.003	0.269	0.003
0.093	0.006	0.539	0.362
0.032	0.003	0.946	0.019
0.004	0.005	0.003	0.988
0.005	0.004	0.004	0.987
