0.002	0.006	0.002	0.007	0.002	0.982
0.002	0.002	0.002	0.003	0.002	0.988
0.002	0.002	0.002	0.002	0.002	0.989
0.002	0.002	0.003	0.003	0.002	0.988
0.002	0.003	0.002	0.003	0.002	0.988
0.006	0.024	0.005	0.154	0.004	0.808
0.004	0.003	0.002	0.004	0.003	0.984
0.005	0.003	0.002	0.004	0.007	0.978
0.024	0.029	0.04	0.097	0.008	0.802
0.002	0.003	0.002	0.004	0.004	0.984
0.003	0.003	0.002	0.003	0.002	0.988
0.002	0.003	0.002	0.002	0.002	0.989
0.003	0.002	0.003	0.006	0.01	0.976
0.003	0.089	0.008	0.894	0.003	0.004
0.03	0.016	0.003	0.805	0.007	0.139
0.021	0.028	0.004	0.786	0.004	0.157
0.008	0.025	0.011	0.048	0.896	0.011
0.002	0.003	0.004	0.003	0.984	0.004
0.003	0.002	0.003	0.003	0.985	0.004
0.021	0.008	0.277	0.032	0.611	0.051
0.982	0.004	0.003	0.003	0.002	0.006
0.005	0.002	0.002	0.003	0.982	0.005
0.009	0.003	0.002	0.003	0.977	0.005
0.989	0.002	0.002	0.002	0.002	0.002
0.003	0.051	0.011	0.01	0.923	0.003
0.003	0.002	0.004	0.003	0.984	0.004
0.003	0.004	0.007	0.004	0.979	0.003
0.003	0.003	0.01	0.007	0.971	0.005
0.002	0.004	0.017	0.005	0.971	0.002
0.017	0.008	0.013	0.022	0.919	0.02
0.005	0.061	0.012	0.88	0.004	0.038
0.044	0.049	0.006	0.847	0.004	0.048
0.03	0.291	0.06	0.561	0.055	0.003
0.003	0.005	0.968	0.006	0.016	0.003
0.003	0.002	0.988	0.002	0.003	0.003
0.026	0.031	0.823	0.084	0.025	0.012
0.005	0.004	0.97	0.005	0.008	0.008
0.002	0.002	0.988	0.003	0.002	0.002
0.025	0.313	0.01	0.641	0.008	0.003
0.086	0.435	0.256	0.198	0.022	0.003
0.135	0.491	0.003	0.358	0.005	0.008
0.002	0.905	0.085	0.004	0.002	0.002
0.002	0.906	0.084	0.003	0.002	0.002
0.004	0.058	0.063	0.612	0.005	0.259
0.005	0.118	0.008	0.851	0.004	0.015
0.002	0.003	0.006	0.003	0.004	0.983
0.002	0.003	0.005	0.003	0.004	0.983
