0.003	0.002	0.006	0.989
0.002	0.003	0.005	0.991
0.003	0.002	0.003	0.992
0.003	0.003	0.003	0.992
0.003	0.003	0.003	0.991
0.005	0.004	0.173	0.818
0.003	0.004	0.004	0.989
0.003	0.008	0.005	0.985
0.038	0.01	0.138	0.814
0.003	0.005	0.003	0.988
0.003	0.002	0.003	0.992
0.002	0.002	0.003	0.993
0.003	0.011	0.007	0.979
0.007	0.003	0.984	0.006
0.028	0.011	0.707	0.254
0.027	0.005	0.685	0.283
0.014	0.923	0.051	0.013
0.005	0.987	0.003	0.004
0.003	0.989	0.003	0.005
0.269	0.626	0.037	0.068
0.007	0.007	0.968	0.018
0.003	0.988	0.004	0.006
0.003	0.986	0.004	0.006
0.004	0.003	0.987	0.006
0.012	0.969	0.015	0.004
0.004	0.989	0.003	0.004
0.011	0.982	0.005	0.003
0.014	0.971	0.007	0.008
0.015	0.978	0.005	0.002
0.014	0.927	0.03	0.029
0.118	0.005	0.754	0.123
0.007	0.005	0.875	0.113
0.067	0.071	0.857	0.005
0.974	0.02	0.004	0.003
0.991	0.003	0.003	0.003
0.857	0.036	0.096	0.011
0.985	0.005	0.004	0.007
0.991	0.003	0.003	0.003
0.005	0.009	0.981	0.005
0.107	0.024	0.866	0.003
0.004	0.005	0.982	0.009
0.004	0.004	0.989	0.003
0.004	0.003	0.989	0.003
0.159	0.006	0.391	0.444
0.008	0.005	0.957	0.03
0.007	0.005	0.003	0.985
0.006	0.005	0.004	0.985
