0.007	0.004	0.002	0.006	0.002	0.979
0.002	0.003	0.002	0.003	0.002	0.988
0.003	0.002	0.002	0.003	0.002	0.989
0.002	0.002	0.002	0.003	0.002	0.989
0.002	0.002	0.002	0.003	0.002	0.989
0.013	0.025	0.002	0.161	0.003	0.795
0.002	0.004	0.002	0.004	0.003	0.985
0.002	0.005	0.002	0.005	0.006	0.979
0.019	0.043	0.031	0.103	0.008	0.797
0.003	0.003	0.003	0.003	0.005	0.984
0.002	0.003	0.002	0.003	0.002	0.988
0.002	0.002	0.002	0.002	0.002	0.989
0.003	0.003	0.003	0.007	0.01	0.974
0.009	0.11	0.004	0.87	0.003	0.005
0.023	0.17	0.002	0.662	0.007	0.136
0.033	0.14	0.002	0.64	0.004	0.18
0.031	0.038	0.01	0.067	0.839	0.015
0.002	0.002	0.004	0.004	0.984	0.004
0.002	0.003	0.003	0.003	0.985	0.005
0.005	0.03	0.29	0.028	0.584	0.063
0.032	0.841	0.065	0.047	0.003	0.011
0.003	0.004	0.002	0.003	0.983	0.005
0.003	0.006	0.003	0.004	0.979	0.005
0.025	0.823	0.062	0.083	0.003	0.004
0.045	0.013	0.012	0.022	0.904	0.003
0.003	0.003	0.003	0.003	0.985	0.003
0.003	0.004	0.008	0.004	0.98	0.002
0.004	0.005	0.01	0.007	0.971	0.005
0.004	0.003	0.011	0.004	0.975	0.002
0.008	0.014	0.011	0.026	0.923	0.017
0.054	0.071	0.008	0.83	0.003	0.035
0.087	0.146	0.009	0.692	0.003	0.063
0.093	0.196	0.073	0.552	0.082	0.004
0.009	0.003	0.953	0.01	0.023	0.002
0.002	0.002	0.987	0.003	0.002	0.003
0.03	0.032	0.792	0.113	0.024	0.008
0.008	0.003	0.962	0.01	0.006	0.01
0.002	0.002	0.987	0.003	0.002	0.003
0.181	0.106	0.006	0.696	0.006	0.004
0.483	0.125	0.163	0.2	0.025	0.003
0.215	0.192	0.004	0.578	0.004	0.006
0.908	0.045	0.003	0.039	0.002	0.002
0.911	0.042	0.002	0.041	0.002	0.002
0.029	0.076	0.07	0.487	0.005	0.333
0.023	0.172	0.004	0.776	0.003	0.021
0.003	0.003	0.005	0.004	0.003	0.982
0.003	0.002	0.006	0.003	0.005	0.981
