0.003	0.988	0.009
0.003	0.993	0.004
0.003	0.993	0.004
0.003	0.994	0.003
0.004	0.993	0.003
0.006	0.794	0.2
0.004	0.99	0.005
0.008	0.987	0.005
0.015	0.832	0.154
0.006	0.989	0.004
0.004	0.993	0.004
0.003	0.993	0.004
0.012	0.98	0.008
0.004	0.006	0.99
0.01	0.42	0.57
0.009	0.467	0.524
0.884	0.016	0.1
0.99	0.006	0.004
0.986	0.008	0.005
0.799	0.117	0.084
0.007	0.033	0.96
0.988	0.007	0.005
0.985	0.009	0.007
0.006	0.009	0.986
0.967	0.004	0.029
0.989	0.006	0.005
0.991	0.003	0.005
0.984	0.007	0.009
0.992	0.003	0.004
0.931	0.034	0.035
0.005	0.1	0.895
0.008	0.155	0.837
0.115	0.005	0.88
0.806	0.004	0.19
0.015	0.005	0.98
0.329	0.008	0.663
0.692	0.013	0.295
0.014	0.004	0.982
0.01	0.006	0.984
0.033	0.005	0.962
0.009	0.014	0.978
0.004	0.004	0.992
0.004	0.005	0.991
0.015	0.368	0.617
0.004	0.029	0.967
0.008	0.987	0.005
0.006	0.989	0.005
