0.992	0.008
0.994	0.006
0.994	0.006
0.995	0.005
0.995	0.005
0.789	0.211
0.993	0.007
0.989	0.011
0.867	0.133
0.993	0.007
0.994	0.006
0.995	0.005
0.987	0.013
0.019	0.981
0.431	0.569
0.493	0.507
0.016	0.984
0.015	0.985
0.018	0.982
0.053	0.947
0.054	0.946
0.011	0.989
0.014	0.986
0.012	0.988
0.007	0.993
0.01	0.99
0.006	0.994
0.007	0.993
0.006	0.994
0.025	0.975
0.162	0.838
0.19	0.81
0.008	0.992
0.006	0.994
0.008	0.992
0.011	0.989
0.012	0.988
0.007	0.993
0.009	0.991
0.007	0.993
0.026	0.974
0.008	0.992
0.008	0.992
0.447	0.553
0.102	0.898
0.991	0.009
0.991	0.009
