0.003	0.002	0.005	0.99
0.002	0.003	0.003	0.992
0.002	0.002	0.003	0.993
0.003	0.003	0.003	0.992
0.003	0.003	0.003	0.991
0.008	0.006	0.162	0.824
0.002	0.003	0.005	0.99
0.003	0.008	0.005	0.984
0.042	0.008	0.126	0.823
0.003	0.005	0.004	0.988
0.002	0.003	0.004	0.991
0.003	0.002	0.003	0.992
0.003	0.009	0.004	0.983
0.021	0.004	0.969	0.006
0.003	0.01	0.667	0.32
0.003	0.007	0.612	0.377
0.01	0.917	0.058	0.015
0.004	0.988	0.003	0.004
0.004	0.987	0.003	0.005
0.246	0.639	0.035	0.08
0.01	0.004	0.967	0.019
0.003	0.987	0.004	0.006
0.003	0.985	0.006	0.007
0.004	0.004	0.987	0.006
0.011	0.974	0.012	0.003
0.004	0.988	0.003	0.004
0.008	0.985	0.004	0.003
0.015	0.971	0.007	0.008
0.017	0.976	0.004	0.002
0.017	0.925	0.031	0.027
0.054	0.004	0.865	0.077
0.007	0.005	0.881	0.107
0.064	0.096	0.834	0.005
0.978	0.014	0.005	0.003
0.991	0.003	0.003	0.003
0.825	0.023	0.134	0.018
0.982	0.004	0.003	0.011
0.991	0.003	0.003	0.003
0.006	0.008	0.982	0.005
0.093	0.021	0.883	0.003
0.005	0.005	0.981	0.009
0.004	0.003	0.989	0.004
0.005	0.003	0.988	0.004
0.117	0.007	0.426	0.449
0.007	0.005	0.932	0.056
0.005	0.004	0.004	0.986
0.006	0.006	0.005	0.983
