0.021	0.006	0.003	0.002	0.004	0.003	0.962
0.004	0.003	0.002	0.003	0.002	0.002	0.985
0.003	0.003	0.002	0.002	0.003	0.002	0.985
0.003	0.002	0.002	0.002	0.002	0.002	0.986
0.003	0.002	0.002	0.003	0.002	0.002	0.986
0.032	0.182	0.014	0.002	0.003	0.005	0.761
0.005	0.003	0.002	0.003	0.003	0.003	0.98
0.01	0.004	0.003	0.008	0.003	0.007	0.964
0.071	0.06	0.034	0.008	0.045	0.006	0.776
0.006	0.004	0.003	0.004	0.003	0.005	0.976
0.003	0.003	0.002	0.003	0.003	0.002	0.984
0.003	0.002	0.002	0.002	0.002	0.002	0.987
0.01	0.006	0.003	0.01	0.003	0.007	0.961
0.073	0.891	0.023	0.003	0.004	0.003	0.004
0.79	0.075	0.018	0.017	0.006	0.004	0.09
0.765	0.079	0.007	0.01	0.012	0.002	0.125
0.011	0.017	0.006	0.009	0.007	0.946	0.004
0.004	0.003	0.003	0.981	0.002	0.005	0.003
0.003	0.002	0.002	0.982	0.002	0.005	0.004
0.014	0.015	0.048	0.002	0.009	0.883	0.03
0.012	0.067	0.014	0.003	0.879	0.005	0.021
0.003	0.003	0.002	0.005	0.002	0.983	0.002
0.004	0.005	0.004	0.008	0.004	0.97	0.004
0.006	0.065	0.003	0.003	0.914	0.003	0.006
0.004	0.015	0.006	0.018	0.017	0.937	0.002
0.003	0.003	0.003	0.984	0.002	0.004	0.002
0.003	0.004	0.006	0.975	0.004	0.006	0.002
0.007	0.006	0.006	0.007	0.003	0.968	0.003
0.003	0.005	0.006	0.013	0.003	0.967	0.002
0.037	0.072	0.013	0.547	0.008	0.308	0.014
0.589	0.318	0.061	0.003	0.006	0.004	0.02
0.426	0.365	0.046	0.005	0.072	0.006	0.081
0.021	0.081	0.044	0.376	0.465	0.009	0.003
0.011	0.005	0.826	0.149	0.003	0.003	0.003
0.057	0.021	0.909	0.005	0.003	0.003	0.002
0.082	0.162	0.617	0.021	0.012	0.095	0.01
0.008	0.006	0.856	0.118	0.003	0.003	0.007
0.056	0.015	0.916	0.004	0.003	0.003	0.003
0.038	0.231	0.021	0.007	0.683	0.017	0.003
0.108	0.256	0.16	0.01	0.428	0.036	0.003
0.011	0.082	0.005	0.007	0.879	0.006	0.011
0.037	0.02	0.004	0.002	0.932	0.003	0.002
0.032	0.018	0.004	0.002	0.938	0.003	0.003
0.08	0.515	0.112	0.004	0.013	0.006	0.27
0.095	0.817	0.044	0.005	0.017	0.003	0.018
0.004	0.003	0.004	0.004	0.004	0.003	0.978
0.004	0.003	0.003	0.005	0.003	0.003	0.978
