0.011	0.01	0.014	0.01	0.955
0.009	0.008	0.009	0.01	0.963
0.007	0.01	0.01	0.009	0.963
0.009	0.009	0.01	0.009	0.961
0.008	0.009	0.011	0.008	0.964
0.016	0.011	0.185	0.011	0.777
0.011	0.009	0.01	0.011	0.958
0.013	0.01	0.012	0.014	0.952
0.08	0.044	0.086	0.013	0.777
0.011	0.008	0.009	0.012	0.959
0.01	0.009	0.01	0.009	0.961
0.008	0.009	0.009	0.01	0.964
0.011	0.01	0.01	0.015	0.953
0.015	0.019	0.944	0.008	0.013
0.343	0.033	0.238	0.018	0.368
0.332	0.03	0.231	0.012	0.394
0.04	0.015	0.077	0.849	0.019
0.011	0.016	0.01	0.952	0.011
0.01	0.013	0.01	0.956	0.012
0.03	0.261	0.039	0.593	0.077
0.945	0.013	0.016	0.011	0.015
0.01	0.01	0.009	0.958	0.013
0.014	0.01	0.011	0.953	0.012
0.949	0.011	0.02	0.01	0.01
0.024	0.023	0.03	0.914	0.009
0.01	0.013	0.011	0.958	0.008
0.012	0.02	0.012	0.946	0.01
0.01	0.02	0.013	0.944	0.013
0.009	0.022	0.01	0.949	0.01
0.036	0.019	0.035	0.879	0.031
0.044	0.045	0.836	0.01	0.065
0.189	0.015	0.682	0.013	0.1
0.362	0.174	0.341	0.112	0.011
0.01	0.949	0.014	0.019	0.007
0.013	0.957	0.01	0.012	0.008
0.042	0.804	0.105	0.031	0.018
0.011	0.948	0.013	0.014	0.014
0.013	0.956	0.01	0.011	0.01
0.176	0.012	0.782	0.02	0.011
0.253	0.136	0.565	0.035	0.01
0.332	0.014	0.626	0.011	0.017
0.013	0.014	0.955	0.01	0.009
0.012	0.012	0.957	0.008	0.01
0.021	0.087	0.584	0.012	0.297
0.028	0.029	0.913	0.009	0.022
0.009	0.011	0.011	0.013	0.956
0.01	0.013	0.012	0.01	0.954
