0.996	0.004
0.996	0.004
0.996	0.004
0.995	0.005
0.996	0.004
0.941	0.059
0.995	0.005
0.993	0.007
0.961	0.039
0.994	0.006
0.996	0.004
0.996	0.004
0.994	0.006
0.654	0.346
0.874	0.126
0.889	0.111
0.015	0.985
0.008	0.992
0.01	0.99
0.032	0.968
0.705	0.295
0.007	0.993
0.008	0.992
0.687	0.313
0.006	0.994
0.006	0.994
0.004	0.996
0.005	0.995
0.004	0.996
0.026	0.974
0.751	0.249
0.764	0.236
0.109	0.891
0.004	0.996
0.006	0.994
0.011	0.989
0.009	0.991
0.006	0.994
0.645	0.355
0.047	0.953
0.676	0.324
0.662	0.338
0.667	0.333
0.827	0.173
0.72	0.28
0.993	0.007
0.993	0.007
