0.019	0.009	0.009	0.005	0.002	0.002	0.016
0.002	0.002	0.002	0.002	0.002	0.002	0.01
0.002	0.002	0.002	0.002	0.001	0.001	0.00900000000000001
0.001	0.002	0.002	0.002	0.001	0.001	0.00700000000000001
0.002	0.002	0.002	0.001	0.001	0.002	0.00800000000000001
0.037	0.168	0.176	0.093	0.009	0.005	0.046
0.002	0.004	0.003	0.002	0.002	0.002	0.00900000000000001
0.006	0.005	0.003	0.004	0.002	0.003	0.011
0.064	0.047	0.063	0.076	0.016	0.007	0.05
0.003	0.003	0.002	0.004	0.001	0.002	0.012
0.002	0.002	0.003	0.003	0.002	0.002	0.012
0.002	0.002	0.002	0.002	0.001	0.001	0.01
0.006	0.007	0.006	0.008	0.001	0.005	0.01
0.129	0.876	0.937	0.433	0.01	0.015	0.001
0.78	0.642	0.721	0.343	0.016	0.006	0.102
0.76	0.624	0.699	0.337	0.021	0.006	0.126
0.059	0.068	0.11	0.115	0.014	0.24	0.008
0.978	0.008	0.004	0.979	0.003	0.976	0.002
0.98	0.017	0.006	0.98	0.013	0.977	0.004
0.066	0.109	0.065	0.09	0.241	0.427	0.037
0.761	0.946	0.01	0.963	0.874	0.112	0.014
0.003	0.017	0.02	0.005	0.016	0.0579999999999999	0.004
0.015	0.018	0.019	0.013	0.006	0.069	0.003
0.761	0.953	0.017	0.969	0.912	0.113	0.004
0.039	0.069	0.033	0.063	0.009	0.104	0.003
0.981	0.014	0.008	0.982	0.004	0.978	0.002
0.966	0.009	0.003	0.971	0.006	0.97	0.001
0.007	0.005	0.003	0.084	0.01	0.095	0.003
0.019	0.011	0.01	0.093	0.013	0.106	0.002
0.533	0.059	0.052	0.55	0.011	0.609	0.004
0.67	0.586	0.801	0.401	0.04	0.004	0.016
0.439	0.345	0.763	0.466	0.062	0.005	0.024
0.291	0.131	0.326	0.245	0.398	0.104	0.002
0.056	0.014	0.822	0.404	0.959	0.016	0.001
0.055	0.023	0.906	0.186	0.978	0.003	0.002
0.076	0.139	0.549	0.116	0.806	0.082	0.003
0.026	0.004	0.853	0.342	0.965	0.011	0.003
0.054	0.021	0.913	0.184	0.976	0.004	0.002
0.213	0.291	0.724	0.411	0.677	0.007	0.001
0.31	0.258	0.241	0.389	0.447	0.023	0.002
0.144	0.257	0.623	0.578	0.875	0.021	0.004
0.971	0.932	0.047	0.689	0.929	0.002	0.001
0.97	0.921	0.059	0.686	0.936	0.002	0.001
0.088	0.503	0.526	0.333	0.048	0.023	0.083
0.092	0.809	0.856	0.475	0.031	0.003	0.007
0.003	0.001	0.002	0.004	0.003	0.002	0.011
0.003	0.001	0.002	0.004	0.006	0.002	0.011
