0.995	0.005
0.996	0.004
0.996	0.004
0.996	0.004
0.996	0.004
0.914	0.086
0.994	0.006
0.993	0.007
0.936	0.064
0.993	0.007
0.996	0.004
0.996	0.004
0.991	0.009
0.379	0.621
0.752	0.248
0.775	0.225
0.017	0.983
0.01	0.99
0.013	0.987
0.038	0.962
0.388	0.612
0.008	0.992
0.01	0.99
0.364	0.636
0.006	0.994
0.009	0.991
0.005	0.995
0.006	0.994
0.004	0.996
0.027	0.973
0.563	0.437
0.579	0.421
0.051	0.949
0.005	0.995
0.007	0.993
0.012	0.988
0.01	0.99
0.006	0.994
0.366	0.634
0.041	0.959
0.426	0.574
0.477	0.523
0.481	0.519
0.717	0.283
0.531	0.469
0.993	0.007
0.992	0.008
